 ,first_name,last_name,email,username,password,picture/large,picture/medium,picture/thumbnail,team_name
1,Shelia,Mahoney,pwarner@example.org,eenrietto0,dyLd0qq,https://randomuser.me/api/portraits/women/10.jpg,https://randomuser.me/api/portraits/med/women/10.jpg,https://randomuser.me/api/portraits/thumb/women/10.jpg,Binary Brigade
2,Jo,Rivers,fergusonkatherine@example.net,kralls1,a7QRQBaCo,https://randomuser.me/api/portraits/women/82.jpg,https://randomuser.me/api/portraits/med/women/82.jpg,https://randomuser.me/api/portraits/thumb/women/82.jpg,Code Commandos
3,Sheryl,Lowery,fhoward@example.org,fponting2,2vpva6MbQO,https://randomuser.me/api/portraits/men/67.jpg,https://randomuser.me/api/portraits/med/men/67.jpg,https://randomuser.me/api/portraits/thumb/men/67.jpg,Data Dazzlers
4,Whitney,Hooper,zjohnston@example.com,rduplantier3,JRZhgdvRT5Sq,https://randomuser.me/api/portraits/men/3.jpg,https://randomuser.me/api/portraits/med/men/3.jpg,https://randomuser.me/api/portraits/thumb/men/3.jpg,Tech Titans
5,Lindsey,Rice,elin@example.net,cboustead4,tdiDv8ngPm,https://randomuser.me/api/portraits/men/81.jpg,https://randomuser.me/api/portraits/med/men/81.jpg,https://randomuser.me/api/portraits/thumb/men/81.jpg,Cyber Crusaders
6,Sherry,Caldwell,kaitlin13@example.net,dmegahey5,wQMpzgMLB,https://randomuser.me/api/portraits/men/38.jpg,https://randomuser.me/api/portraits/med/men/38.jpg,https://randomuser.me/api/portraits/thumb/men/38.jpg,Innovation Instigators
7,Ernest,Hoffman,jeffharvey@example.com,gbrownscombe6,xNWx6pZOmwI2,https://randomuser.me/api/portraits/women/14.jpg,https://randomuser.me/api/portraits/med/women/14.jpg,https://randomuser.me/api/portraits/thumb/women/14.jpg,Hack Hounds
8,Doris,Andersen,alicia33@example.org,csalthouse7,iC0n4wBvtNZe,https://randomuser.me/api/portraits/men/86.jpg,https://randomuser.me/api/portraits/med/men/86.jpg,https://randomuser.me/api/portraits/thumb/men/86.jpg,Pixel Pioneers
9,Cheryl,Mays,jake50@example.com,pbriatt8,XIyAw3h9GwoB,https://randomuser.me/api/portraits/men/10.jpg,https://randomuser.me/api/portraits/med/men/10.jpg,https://randomuser.me/api/portraits/thumb/men/10.jpg,Algorithm Avengers
10,Harry,Mitchell,lanechristina@example.net,jhanshaw9,m1u5j92,https://randomuser.me/api/portraits/women/69.jpg,https://randomuser.me/api/portraits/med/women/69.jpg,https://randomuser.me/api/portraits/thumb/women/69.jpg,Byte Brawlers
11,Casey,Ayala,ncantu@example.com,dpetrena,dNKZJ81,https://randomuser.me/api/portraits/women/78.jpg,https://randomuser.me/api/portraits/med/women/78.jpg,https://randomuser.me/api/portraits/thumb/women/78.jpg,Code Captains
12,Sara,Huff,kristy41@example.net,ckeelyb,4d51Tkl,https://randomuser.me/api/portraits/men/80.jpg,https://randomuser.me/api/portraits/med/men/80.jpg,https://randomuser.me/api/portraits/thumb/men/80.jpg,Data Daredevils
13,Eddie,Barnes,brandy23@example.com,vterrellc,xCdvxPcx,https://randomuser.me/api/portraits/women/11.jpg,https://randomuser.me/api/portraits/med/women/11.jpg,https://randomuser.me/api/portraits/thumb/women/11.jpg,Tech Trojans
14,Ralph,Lowe,dleon@example.org,dgrissettd,LAXyryd,https://randomuser.me/api/portraits/men/86.jpg,https://randomuser.me/api/portraits/med/men/86.jpg,https://randomuser.me/api/portraits/thumb/men/86.jpg,Cyber Savvy
15,Priscilla,Davis,latasha46@example.org,akendrewe,l6KuGgd,https://randomuser.me/api/portraits/women/75.jpg,https://randomuser.me/api/portraits/med/women/75.jpg,https://randomuser.me/api/portraits/thumb/women/75.jpg,Innovation Illuminati
16,Carly,Abbott,stricklandomar@example.org,aioanf,0biocA5JBo6d,https://randomuser.me/api/portraits/men/40.jpg,https://randomuser.me/api/portraits/med/men/40.jpg,https://randomuser.me/api/portraits/thumb/men/40.jpg,Hack Heroes
17,Nicolas,Mckinney,twilkinson@example.com,cclearieg,6V8ZXd4,https://randomuser.me/api/portraits/men/28.jpg,https://randomuser.me/api/portraits/med/men/28.jpg,https://randomuser.me/api/portraits/thumb/men/28.jpg,Digital Dons
18,Natasha,Macias,dorothymeza@example.com,gskakunash,bWz7ktXl,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg,Code Connoisseurs
19,Courtney,Jenkins,estesana@example.org,iwatersoni,maDuX7OMgRiy,https://randomuser.me/api/portraits/women/27.jpg,https://randomuser.me/api/portraits/med/women/27.jpg,https://randomuser.me/api/portraits/thumb/women/27.jpg,Data Dominators
20,Perry,Mcmahon,allison66@example.net,nludeej,GalUOp,https://randomuser.me/api/portraits/men/20.jpg,https://randomuser.me/api/portraits/med/men/20.jpg,https://randomuser.me/api/portraits/thumb/men/20.jpg,Tech Trailblazers
21,Emily,Travis,jordankelley@example.com,cheadingsk,TatpblUAbWS,https://randomuser.me/api/portraits/women/78.jpg,https://randomuser.me/api/portraits/med/women/78.jpg,https://randomuser.me/api/portraits/thumb/women/78.jpg,Pixel Professionals
22,Meghan,Hawkins,ehatfield@example.com,askillenl,TomohWHWRA,https://randomuser.me/api/portraits/women/58.jpg,https://randomuser.me/api/portraits/med/women/58.jpg,https://randomuser.me/api/portraits/thumb/women/58.jpg,Byte Bandits
23,Ernest,Oconnell,lanedarius@example.com,estruysm,Z1ooIiG,https://randomuser.me/api/portraits/women/21.jpg,https://randomuser.me/api/portraits/med/women/21.jpg,https://randomuser.me/api/portraits/thumb/women/21.jpg,Innovation Innovators
